Z_Accel
Unfiltered MAF FIR
-0.950441 -0.190076 -0.002013
-0.985333 -0.387106 -0.018605
-0.955809 -0.578280 -0.089182
-0.995154 -0.777323 -0.249307
-0.974292 -0.972157 -0.482205
-0.963617 -0.974841 -0.716750
-0.972218 -0.972218 -0.880901
-1.069025 -0.994849 -0.955199
-1.105625 -1.016931 -0.974475
-1.203957 -1.062864 -0.983381
-1.168089 -1.103734 -1.002291
-1.109956 -1.131306 -1.037549
-0.989420 -1.115385 -1.082384
-0.933117 -1.080859 -1.118862
-0.869921 -1.014064 -1.127585
-0.817156 -0.943914 -1.100318
-0.752557 -0.872422 -1.044381
-0.683627 -0.811239 -0.975695
-0.520818 -0.728767 -0.907131
-0.466223 -0.648064 -0.841129
-0.498858 -0.584380 -0.771711
-0.891088 -0.612074 -0.695278
-0.933239 -0.662033 -0.623908
-1.100318 -0.777933 -0.589809
-1.201944 -0.925065 -0.622566
-1.376892 -1.100684 -0.723826
-1.262944 -1.175043 -0.864736
-1.157902 -1.220000 -1.008940
-0.987773 -1.197491 -1.128378
-1.151314 -1.187365 -1.203408
-1.282220 -1.168394 -1.222013
-1.275998 -1.171017 -1.194929
-1.149301 -1.169309 -1.161318
-0.909022 -1.153571 -1.155706
-0.808921 -1.085068 -1.174128
-0.934398 -1.015528 -1.176446
-1.020042 -0.964288 -1.130147
-1.043710 -0.943182 -1.047126
-0.897676 -0.940925 -0.973621
-0.934520 -0.966057 -0.944158
-0.825208 -0.944219 -0.951966
-0.779641 -0.896151 -0.963678
-0.642818 -0.815936 -0.952454
-0.589931 -0.754387 -0.914390
-0.544852 -0.676490 -0.857538
-0.692167 -0.649833 -0.789157
-0.783789 -0.650687 -0.717970
-0.687348 -0.659593 -0.661789
-0.942206 -0.730048 -0.640439
-0.747189 -0.770491 -0.657214
-1.120936 -0.856257 -0.701012
-1.076894 -0.914878 -0.754204
-1.330410 -1.043527 -0.812398
-1.382992 -1.131672 -0.883402
-1.368901 -1.255990 -0.975756
-1.402207 -1.312232 -1.085800
-1.292041 -1.355298 -1.196210
-1.188463 -1.326872 -1.285148
-1.048590 -1.260016 -1.334680
-0.940071 -1.174250 -1.338157
-0.837896 -1.061400 -1.295884
-0.860649 -0.975085 -1.217499
-0.892369 -0.915915 -1.117825
-0.930738 -0.892308 -1.018639
-0.980392 -0.900360 -0.942145
-0.960384 -0.924882 -0.901580
-0.729011 -0.898530 -0.896212
-0.747433 -0.869555 -0.909937
-0.338428 -0.751093 -0.915061
-0.306708 -0.616344 -0.886818
-0.437004 -0.511668 -0.810690
-0.842898 -0.534482 -0.693387
-0.932934 -0.571570 -0.572058
-1.093303 -0.722545 -0.505324
-1.089521 -0.879132 -0.535214
-1.291736 -1.050054 -0.655750
-1.302838 -1.142042 -0.817156
-1.611864 -1.277828 -0.968131
-1.172115 -1.293566 -1.091717
-1.295518 -1.334802 -1.197308
-1.201822 -1.316807 -1.283196
-1.255746 -1.307413 -1.330959
-1.032364 -1.191513 -1.330593
-1.008696 -1.158817 -1.294664
-0.948733 -1.089460 -1.244095
-0.860771 -1.021262 -1.187975
-0.705587 -0.911218 -1.123498
-0.707356 -0.846192 -1.048224
-0.661301 -0.776713 -0.967460
-0.725656 -0.732122 -0.885903
-0.640744 -0.688080 -0.809775
-0.585173 -0.664046 -0.748409
-0.705587 -0.663680 -0.708149
-0.771894 -0.685762 -0.683749
-0.838384 -0.708332 -0.669353
-0.851133 -0.750422 -0.668621
-0.902800 -0.813923 -0.690276
-1.221464 -0.917135 -0.734318
-1.152534 -0.993263 -0.792146
-1.259406 -1.077443 -0.861076
-1.576301 -1.222501 -0.944890
-1.229333 -1.287771 -1.043588
-1.403000 -1.324066 -1.149911
-1.305766 -1.354749 -1.246108
-1.072807 -1.317417 -1.313879
-1.085495 -1.219268 -1.342671
-0.873520 -1.148081 -1.327482
-0.895358 -1.046577 -1.271850
-0.826001 -0.950624 -1.188158
-0.771345 -0.890295 -1.091534
-0.719678 -0.817156 -0.997472
-0.734928 -0.789462 -0.918965
-0.612501 -0.732854 -0.856074
-0.570716 -0.681797 -0.804224
-0.557235 -0.638975 -0.757864
-0.657214 -0.626470 -0.711382
-0.790804 -0.637694 -0.665937
-0.806481 -0.676490 -0.631533
-1.020774 -0.766465 -0.625189
-0.970266 -0.849059 -0.657153
-1.209874 -0.959591 -0.724009
-1.497184 -1.100867 -0.811178
-1.357555 -1.211094 -0.909693
-1.191513 -1.245254 -1.021445
-1.143506 -1.279902 -1.140700
-1.344440 -1.306803 -1.239581
-1.364692 -1.280329 -1.287344
-1.193709 -1.247572 -1.285636
-1.043283 -1.217926 -1.267763
-0.886513 -1.166503 -1.260016
-0.783545 -1.054324 -1.248731
-0.615368 -0.904447 -1.200419
-0.444080 -0.754509 -1.103124
-0.439871 -0.633851 -0.973255
-0.437004 -0.543937 -0.833321
-0.548329 -0.496906 -0.699426
-0.627385 -0.499285 -0.587369
-0.825574 -0.575596 -0.516060
-0.982344 -0.684115 -0.499468
-1.190049 -0.834724 -0.540033
-1.265628 -0.978196 -0.629947
-1.301069 -1.112884 -0.757254
-1.279841 -1.203774 -0.904569
-1.208044 -1.248914 -1.047553
-1.195844 -1.250073 -1.161013
-1.295152 -1.255990 -1.228601
-1.240496 -1.243851 -1.251842
-1.383968 -1.264652 -1.249524
-1.109468 -1.244949 -1.244522
-0.939217 -1.193648 -1.249097
-0.841922 -1.103002 -1.252696
-0.661606 -0.987224 -1.228113
-0.698267 -0.850096 -1.155950
-0.726998 -0.773602 -1.041697
-0.548695 -0.695461 -0.914451
-0.457622 -0.618601 -0.806420
-0.334890 -0.553270 -0.728462
-0.690703 -0.551745 -0.665815
-0.625982 -0.531554 -0.602436
-1.043649 -0.630557 -0.547414
-1.178581 -0.774761 -0.530639
-1.436550 -0.995093 -0.581940
-1.336144 -1.124169 -0.705404
-1.365302 -1.272033 -0.878156
-1.319613 -1.327238 -1.060058
-0.945256 -1.280573 -1.208959
-1.222745 -1.237812 -1.295335
-1.218536 -1.214266 -1.307779
-1.273192 -1.195844 -1.267641
-1.110932 -1.154120 -1.215242
-0.992531 -1.163575 -1.185596
-0.985150 -1.116056 -1.181082
