X_Accel Y_Accel Z_Accel
-0.056669 -0.040687 -0.997899
-0.071492 -0.023058 -0.992531
-0.061549 -0.011956 -0.979416
-0.029036 -0.002623 -0.979477
-0.032696 -0.005124 -0.955199
-0.023485 -0.031171 -0.951722
-0.009089 -0.048861 -0.978623
-0.042334 -0.073871 -1.050664
-0.043432 -0.065941 -1.021201
-0.057462 -0.059902 -0.983625
-0.027816 -0.052216 -0.992958
-0.043676 -0.082716 -0.981490
-0.047031 -0.083082 -0.982954
-0.062647 -0.101992 -0.968680
-0.081252 -0.151524 -0.973255
-0.058255 -0.158051 -0.950990
-0.053985 -0.175375 -0.930189
-0.044225 -0.175253 -0.956968
-0.064599 -0.171105 -0.963129
-0.082472 -0.171044 -0.971791
-0.074908 -0.205509 -0.949160
-0.068259 -0.218624 -0.938973
-0.066429 -0.243146 -0.949892
-0.080337 -0.246318 -0.948733
-0.094672 -0.255224 -0.953674
-0.088023 -0.260592 -0.939278
-0.083631 -0.277367 -0.921344
-0.099430 -0.289994 -0.915854
-0.090707 -0.304268 -0.883829
-0.074481 -0.318176 -0.886086
-0.080215 -0.317566 -0.859917
-0.092781 -0.330254 -0.882853
-0.091439 -0.359351 -0.882853
-0.104188 -0.371185 -0.879254
-0.108885 -0.368135 -0.882792
-0.117364 -0.381677 -0.885049
-0.119377 -0.389241 -0.891149
-0.135908 -0.397964 -0.895724
-0.152744 -0.418460 -0.903105
-0.146949 -0.437126 -0.874435
-0.118096 -0.448289 -0.853146
-0.103273 -0.447618 -0.883097
-0.116449 -0.443409 -0.888770
-0.125904 -0.444629 -0.874191
-0.125782 -0.460428 -0.859124
-0.121695 -0.493612 -0.845582
-0.134505 -0.491294 -0.856501
-0.142496 -0.512095 -0.858148
-0.142252 -0.521733 -0.857294
-0.135908 -0.502213 -0.789889
-0.131699 -0.539972 -0.804041
-0.125660 -0.581025 -0.765428
-0.094428 -0.603839 -0.734989
-0.091622 -0.614636 -0.728950
-0.103456 -0.643306 -0.753411
-0.104676 -0.635010 -0.733037
-0.099064 -0.641720 -0.707661
-0.114924 -0.683200 -0.681065
-0.111935 -0.679235 -0.677039
-0.094123 -0.675819 -0.686738
-0.111569 -0.674721 -0.691435
-0.109373 -0.690093 -0.687165
-0.105469 -0.691740 -0.674904
-0.098637 -0.697718 -0.650016
-0.111020 -0.716445 -0.636962
-0.100406 -0.734623 -0.631228
-0.055388 -0.724192 -0.622749
-0.040382 -0.746396 -0.604937
-0.042212 -0.769271 -0.572302
-0.062098 -0.803858 -0.560895
-0.051667 -0.804041 -0.555344
-0.027206 -0.830210 -0.565287
-0.015616 -0.793183 -0.565348
-0.018849 -1.262090 -0.722423
-0.050752 -0.732061 -0.472384
0.038979 -0.895541 -0.530212
0.048129 -0.884744 -0.470615
0.069540 -0.860588 -0.479460
0.066124 -0.836981 -0.516121
0.053558 -0.850462 -0.549549
0.074969 -0.845155 -0.521428
0.087718 -0.854183 -0.515633
0.108519 -0.863028 -0.490562
0.120170 -0.866566 -0.478484
0.124989 -0.866444 -0.486597
0.136030 -0.868030 -0.479887
0.148962 -0.852414 -0.480619
0.171227 -0.851621 -0.460611
0.150731 -0.875533 -0.450668
0.186477 -0.877912 -0.466040
0.194407 -0.867298 -0.439871
0.215086 -0.849364 -0.473238
0.235277 -0.840397 -0.488488
0.247721 -0.825452 -0.467443
0.256200 -0.825757 -0.503555
0.263215 -0.813923 -0.511241
0.299632 -0.798429 -0.507459
0.312442 -0.795623 -0.541863
0.348920 -0.786900 -0.536556
0.351055 -0.779397 -0.532408
0.359290 -0.765672 -0.551013
0.371856 -0.761707 -0.532835
0.410103 -0.739747 -0.518561
0.443775 -0.726937 -0.521916
0.448594 -0.713456 -0.513681
0.461099 -0.711687 -0.505080
0.490196 -0.710772 -0.491538
0.505751 -0.695949 -0.472567
0.534116 -0.679296 -0.453840
0.543022 -0.650931 -0.463356
0.549793 -0.624518 -0.520879
0.574681 -0.646173 -0.524600
0.581757 -0.613660 -0.558333
0.575596 -0.599020 -0.561688
0.579073 -0.603534 -0.570716
0.593225 -0.583282 -0.566873
0.596641 -0.575962 -0.563701
0.606889 -0.556625 -0.556930
0.604144 -0.556869 -0.552233
0.624884 -0.529968 -0.560712
0.647271 -0.522343 -0.554368
0.664046 -0.530822 -0.565470
0.656360 -0.508801 -0.543693
0.653432 -0.472201 -0.555100
0.676551 -0.452620 -0.573095
0.677527 -0.432368 -0.565348
0.673867 -0.452620 -0.565897
0.686189 -0.431758 -0.547292
0.681553 -0.408273 -0.577365
0.676734 -0.399184 -0.615795
0.682651 -0.405894 -0.667035
0.678564 -0.382043 -0.670207
0.678198 -0.366183 -0.684847
0.665510 -0.336171 -0.673867
0.673623 -0.316529 -0.650626
0.684908 -0.311466 -0.663253
0.701988 -0.316468 -0.665998
